期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024108,2,"[1, 8, 9, 23, 24, 30]",8,95,6,"[9, 6, 4]","[7, 4, 6]","[4, 0, 9, 3, 2, 2]","[5, 0, 3]","[0, 2, 3, 4, 5, 6, 7, 9]","[1, 2, 0, 2, 0, 0]"
2024109,4,"[3, 4, 24, 28, 29, 33]",9,121,6,"[0, 5, 4]","[1, 4, 4]","[9, 9, 4, 3, 3, 2]","[1, 1, 1]","[0, 1, 2, 3, 4, 5, 9]","[0, 1, 0, 1, 2, 0]"
2024110,7,"[4, 13, 17, 23, 25, 33]",14,115,8,"[9, 2, 6]","[9, 6, 8]","[7, 7, 5, 4, 3, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 2, 1, 0]"
2024111,2,"[1, 4, 11, 12, 22, 30]",16,80,6,"[9, 8, 1]","[3, 1, 8]","[9, 9, 6, 5, 2, 1]","[2, 0, 0]","[0, 1, 2, 3, 5, 6, 8, 9]","[1, 1, 2, 0, 1, 0]"
2024112,4,"[8, 11, 16, 25, 29, 32]",3,121,8,"[4, 8, 9]","[3, 9, 3]","[4, 0, 6, 3, 3, 2]","[1, 1, 1]","[0, 1, 2, 3, 4, 6, 8, 9]","[2, 2, 1, 1, 2, 2]"
2024113,7,"[4, 5, 23, 24, 26, 31]",11,113,8,"[7, 1, 1]","[1, 1, 5]","[7, 1, 3, 3, 3, 2]","[5, 3, 1]","[1, 2, 3, 5, 7]","[1, 2, 2, 0, 2, 1]"
2024114,7,"[7, 11, 18, 24, 27, 32]",4,119,10,"[5, 6, 6]","[4, 6, 5]","[6, 9, 5, 3, 3, 2]","[5, 4, 3]","[2, 3, 4, 5, 6, 9]","[1, 2, 0, 0, 0, 2]"
2024115,2,"[3, 10, 11, 19, 27, 28]",7,98,4,"[5, 7, 8]","[7, 8, 1]","[1, 8, 7, 4, 2, 2]","[2, 3, 2]","[1, 2, 3, 4, 5, 7, 8]","[0, 1, 2, 1, 0, 1]"
2024116,4,"[1, 15, 20, 22, 31, 32]",3,121,10,"[1, 6, 2]","[4, 2, 1]","[0, 7, 5, 4, 2, 2]","[1, 1, 1]","[0, 1, 2, 4, 5, 6, 7]","[1, 0, 2, 1, 1, 2]"
2024117,7,"[3, 12, 14, 16, 29, 32]",12,106,8,"[9, 7, 2]","[9, 2, 3]","[4, 7, 6, 5, 2, 2]","[4, 1, 2]","[1, 2, 3, 4, 5, 6, 7, 9]","[0, 0, 2, 1, 2, 2]"
2024118,2,"[2, 3, 4, 6, 11, 15]",14,41,6,"[3, 8, 2]","[1, 2, 4]","[9, 2, 9, 5, 2, 1]","[5, 1, 1]","[1, 2, 3, 4, 5, 8, 9]","[2, 0, 1, 0, 2, 0]"
2024119,4,"[2, 9, 26, 27, 31, 32]",14,127,8,"[0, 2, 1]","[7, 1, 1]","[2, 3, 3, 3, 3, 2]","[1, 2, 3]","[0, 1, 2, 3, 7]","[2, 0, 2, 0, 1, 2]"
2024120,7,"[1, 5, 7, 11, 18, 19]",7,61,8,"[8, 3, 4]","[4, 4, 1]","[0, 1, 7, 4, 2, 2]","[1, 1, 1]","[0, 1, 2, 3, 4, 7, 8]","[1, 2, 1, 2, 0, 1]"
2024121,2,"[1, 7, 10, 13, 27, 33]",3,91,5,"[2, 0, 3]","[6, 3, 6]","[0, 2, 8, 6, 2, 1]","[1, 1, 3]","[0, 1, 2, 3, 6, 8]","[1, 1, 1, 1, 0, 0]"
2024122,4,"[5, 7, 9, 16, 17, 29]",15,83,8,"[4, 0, 7]","[2, 7, 2]","[5, 0, 8, 4, 3, 1]","[5, 3, 3]","[0, 1, 2, 3, 4, 5, 7, 8]","[2, 1, 0, 1, 2, 2]"
2024123,7,"[2, 15, 22, 26, 30, 33]",4,128,7,"[1, 5, 4]","[3, 4, 3]","[3, 7, 4, 3, 3, 2]","[2, 3, 0]","[0, 1, 2, 3, 4, 5, 7]","[2, 0, 1, 2, 0, 0]"
2024124,2,"[2, 14, 15, 17, 25, 30]",11,103,8,"[8, 1, 2]","[2, 2, 5]","[0, 6, 5, 5, 3, 2]","[1, 3, 3]","[0, 1, 2, 3, 5, 6, 8]","[2, 2, 0, 2, 1, 0]"
2024125,4,"[1, 4, 13, 18, 26, 30]",3,92,8,"[9, 2, 5]","[3, 5, 4]","[1, 2, 6, 4, 2, 2]","[2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 1, 1, 0, 2, 0]"
